id ,document,label
1,"1, 2편보다 스케일이 커진 것만 좋았다",1
2,사람이 해골로 변 할때 제작진이 제정신이 아닙니다 보지 마세요,0
3,보다가 화가 난 영화는 이게 처음임...,0
4,"처음 봤을땐 억지 사골 속편이라 생각했건만.. 4, 5편 뇌절 후 다시 보니 선녀",1
5,엄청난 액션이 겁나 많아서 좋음,1
6,지구에 불시착해서 인간을 지키겠다던 외계인들이 미군과 함께 타국의 인간들을 공격하는 임무를 수행하러 다닌다는 기막힌 설정부터 사람 인내심을 테스트한다.,0
7,10년지나서 다시보니 기억이 초기화되서 처음본 영화처럼 너무 재밌게 봤다 ㅎㅎㅎㅎ 꿀잼,1
8,윙슈트 침투장면은 너무 감동적이다 3가 전투신은 가장 화려한듯,1
9,남주 열등감덩어리에 무슨 매력이 있는지 모르겠음 여자가 아까움,0
10,"난 솔직히 여주때문에봄 ㅋㅋㅋㅋ 트포는 딱 3까지가 좋고 4,5는 쓰레기임",1
11,잘 봤어용.,1
12,중간중간 러브스토리가 맥을 끊는 느낌.진짜 최악이었다 10년 지난뒤 다시봐도 쓰레기의 시작,0
13,난 그래도 재밌게 봤는데. 극장가서 가족들이랑 봤을때도 재밌게 본 기억남. 난 트랜스포머 시리즈 중 이게 젤 재밌음,1
14,재미만있구만.ㅋ 근데사전지식이없어서그런데여주가..같은시리즌데난데없는인물이..,1
15,트랜스포머 3 : 떡락의 시작,0
16,이 영화는 캐릭터들에 대한 애정 또는 몰입감이 없으면 재밌게 보기 힘들다. 몰입을 하면 싸우는것 조차도 스토리가 되고 응원하면서 보게 되고 재밌다. 1편부터 애정을 갖고 봤으면 개인적으로는 재미없을 수가 없다. 그저 영화를 평가하는 식으로 보든 '얼마나 재밌는지 보자' 하면서 보거나 시리즈 중 이것만 보면 좋은 평점을 주기 힘들다. 4편부터 진짜 재미없는데 3편은 아주 재밌음 왜 평점이 많이 낮은지 모르겟다.,1
17,말만 많고 액션도 이상해지고ㅜㅜ재미없음,0
18,"어렸을땐, 유치하다고 생각해서 안봤었는데, 커서 보니까 정말 엄청난 영화라는 생각이 든다. 마블보다 연출이나 영상미가 더 대단한듯.",1
19,솔직히 그래픽은 찢었다,1
20,"ㅡㅡ.. 옵티머스는 열심히 목숨구하는데, 샘은 연애질?",0
21,?재미있게봤습니다. 나름,1
22,꼭 영화관에서 보시길.. 정말 재밌습니다. 높은 몰입도..,1
23,내가 본 우주소재 영화중에 최고,1
24,?잘 봤습니다~,1
25,?영화관에서 안보면 별점 못메기게 해야 됨,1
26,광활한 우주를 재개봉으로 큰 스크린으로 볼 수 있어서 다행이었다,1
27,출 대박이예요,1
28,내 인생 최고의 영화 중 하나였다. 영화관이 존재해야 하는 이유를 설명해주는 영화이다.,1
29,재밌읍니다재밌읍니다,1
30,영화관에서 봐야하는 영화,1
31,정적이지만 큰 울림 완벽한 sf,1
32,이런 설정으로 영화를 만들 수 있구나 감탄한 영화,1
33,어떻게 보면 잔잔한 영화인데 오랜만에 봐도 흥미진진하고 몰입이 잘 되었던 영화입니다.,1
34,"개봉, 재개봉, 재재개봉 관람했지만 재재재개봉해도 극장으로..",1
35,?체험과 서사로 겪은 모두의 삶,1
36,?필히 사운드 좋은관에서 보는걸추천!! 내가 우주속에있는듯 하다,1
37,광활한 우주에 유영하는 느낌을 가지게 한 체험형 영화,1
38,사운드 중요해요 우주영화지만 사운드 정말 중요해요,1
39,"우주를 배경으로 한 작품중 영상미는 최고라고 생각하고, 고요한 우주속에서 펼쳐지는 두 배우의 호흡은 정말 최고입니다.",1
40,기어코 이 땅에 발 붙이고 살아가게 만드는 중력: 당신과 세상,1
41,아무도 없는 큰 영화관에서 혼자 보고싶다.,1
42,진짜 왜 감동주고 그래? 월e브아아ㅏㅏ 인생영화,1
43,정말 의미있고 좋은 영화입니다.,1
44,흐흠ㅎㅎ 최고의 영화에용 보고 또보구 ㅎㅎ,1
45,인생을 사는 방법을 알려주는 로봇들,1
46,생각이 많아지는 여운이 남는 영화.,1
47,명작은 시간이 지나도 재밌다 ㅎㅎ,1
48,최고의 애니_무조건 꼭 보세요,1
49,상상력은 예술의 가장 큰 요소임이 분명하다.픽사의 창의력은 어디까지일까,1
50,정말 최고의 애니메이션....,1
51,옛날부터 많이보고 감동한 영화.미래지구가 저렇게 되지않으면 좋겠다는생각을 하게한 영화.,1
52,어릴 때 보고 커서 또 봤는데 너무 감동적인 영화..,1
53,월-E 2가 나오기를 10년 넘게 기다려요ㅜㅜ,1
54,대사가 없어서 영화를 보면 스스로 생각하게 되는데 사람마다 가치관이랑 보는 관점이 달라서 여러가지 의미로 해석이 가능한것같아요. 어릴때는 그냥 스토리만으로 눈으로 보이는것만 봤는데 커서 보니까 또 다른것들이 보이기 시작하네요많은 생각을 하게 되는 작품입니다. 진짜 이게 예술이구나 싶음. 이런 픽사작품 또 나왔으면 좋겠다,1
55,대사도 거의 없다시피 하는 로봇 이야기에 이 정도로 울 줄이야...,1
56,초딩때 처음 보고 지금 23살인데 집에다가 아예 CD 구매해놓고 지금까지 50번 넘게 본 듯 어째 맨날봐도 재밌냐,1
57,이것이 슈퍼노멀의 아름다움,1
58,오랜만에 봐도 정말 너무 재밌고 감동적인 영화였습니다.,1
59,최고의 애니메이션!!,1
60,마음을 따뜻하게 만들어주는..ㅎㅎ,1
61,최고의 명대사:이브?마지막 푸릇푸릇한 것들이 화면에 가득 찼을 때 소름!,1
62,마블영화중 가장 재밌게 봤어요내적댄스 OST들도 최고RIP 채드윅 보스만,1
63,?왕이시여 편히 쉬소서. 와칸다 포에버.,1
64,?RIP 채드윅 보스만,1
65,?역시 멋있... ㅎ 와칸다 뽀에버,1
66,아들과 같이 봤는데 그래픽이 멋있다고 합니다. 재미있게 봤어요.,1
67,신기하고 재밌었습니다,1
68,?재미있었습니다^^~,1
69,와칸다 뽀레버!!! 재미났오요,1
70,재밌었습니다. 계속 봤으면 좋겠다 계속 나와주세요캐릭터들이 좋음,1
71,히어로영화는 그냥저냥.,0
72,?재미있게 잘 봤어여 추천요,1
73,재미있네요 ㅋㅋㅋㅋ 역시마블,1
74,?주변인들에게 추천할 정도로 재미있었습니다,1
75,?나키아 짱귀여움....한국말할때.,1
76,별루별루별루별루별루,0
77,완전 잼나요! 마이클B조던한테 엄청엄청 반하게 됩니당 ㅎㅎ,1
78,완전 꿀~~~~잼이에여 ㅎㅎ,1
79,관람객?와칸다는 영원ㄴ합니다,1
80,역시 마블 영화는 재밌다,1
81,마블영화본중 젤 재미없었던거같아요ㅎ,0
82,전편들에 비하면 너무 형편없는 영화이다.,0
83,최고조의 리부트 비기닝 첫 단추,1
84,시리즈물인지 모르고 더비기닝을 가장 먼저 봐버렸다. 모든 게 너무 급전개여서 당황스러운 부분이 많았는데 전편을 보지 않아서인지도 모르겠다. 영상미는 우주영화에서 느끼고 싶었던 부분을 충분히 만족시켜주는 수준이었음 굿굿,1
85,보기좋은 떡이 맛도 좋진 않다,0
86,Jj표 스타트랙 화려한 부활1,1
87,탄탄하고 긴장감 넘치는 스토리 스타트렉 세계관을 이해 못하더라 이해할수 있을 정도로 잘 만든 영화 2탄이ㅜ기대된다 영상미 또한 최고 였다,1
88,아직까지도 나에겐 최고의 영화..,1
89,최고의 스페이스오페라,1
90,스팍은 진짜 분장이 찰떡,1
91,10년이 더 지난 지금 보더라도 전혀 불편함 없는 퀄리티. 상상으로만 생각하던 평행우주에 대해 다룬 영화이지만 거부감없이 잘 본 영화.스팍과 커크의 티키타카 시작점이 되어준 값진 영화,1
92,극장에서 느꼈던 그 전율! SF 중엔 너가 최고다,1
93,나는 왜 재미가 없을까? 연출은 잘했지만 스토리가 복잡하고 눈요기도 안되는 듯. 그나마 연기 구멍은 없다.,0
94,남자 평점 왜 이럼 ㅎㅎㅎ,1
95,아 너무 재미있는데..sf판타지는 안좋아하는데 스타트렉 진짜 재미있다..크리스파인 얼굴 너무 잘해..,1
96,"""스팍' 전송될 때 엄마를 안고 있었어야지 임뫄""",1
97,이게 우주다! 이게 SF다! 이게 영화다!,1
98,그 네로의 함선 CG엄청 잘했어요.스타트렉 첨 봤는데 스타워즈를 꺽어 버렸어요!,1
99,"천재감독들만연출할수있다는 전작들을 아우르는 시간 트립연출은 가히 환상적이고, 영리하다. 역시 쌍제이.!!!",1
100,스타트렉 시리즈를 모르는 나 같은 사람들은 시작인 작품 왜 이제서야 봤을까,1
101,개연성도 없고 매력있는 캐릭터도 없고 그냥 우주 배경으로 찍은 뻔한 스토리 상업영화. 이해하고 말고 할 것도 없고 유치해서 죽는줄 알았음.,0
102,참 대단하다. 나온지 20년이 되가는데도 뭐하나 흠잡을때가 없네. 감독이 스필버그니 당연한거겠지만 그것을 받쳐주는 시스템의수준이 20년전이 이 정도니 헐리웃은 진짜 넘사벽이다,1
103,쫄리는 맛은 있는데 스토리 개연성이 영 떨어진다.,0
104,미국스러운 영화. 재미있네요.,1
105,"나 어릴 적 SF의 눈을 뜨게 해준 최고의 영화 웅장하고 공포스러운 훌륭한 연출,가장 흥미로웠던 점은 트라이포드와 건물 부서지는 CG는 지금 봐도 최고 수준이다. 스필버그 감독 존경 합니다.",1
106,거창하게 시작 끝내기는 허무하게 외계인들을 너무 약봤어,1
107,당시 미국인들이 마주쳐야했던 불확실한 공포감,1
108,"감독,배우,연기만을8점 후반대 이상영화임",1
109,아휴 애들이 진짜말안들음 괴물이 오고잇는데 저게뭐냐구만물어봐 속터져 차를타래두 딴데쳐다만보구 톰크루즈아니면 암걸리는줄,0
110,인간의 시선을 하이 앵글에서 로우 앵글로 바꾸는 영화,1
111,그냥 쓰레기 영화 한심하다,0
112,"개봉때 봤었는데 그때도 매우 불쾌했었는데, 지금은 또 다르지 않을까 싶어서 다시 보다가 군대가 공격 할때 자길 놔달라고 하는 새끼때문에 너무 화가 나서 그냥 껐습니다. 너무 답답하네요",0
113,"와 진짜 우리나라 영화 평론 수준이 이정도밖에 안 되나? 아니, 무슨 주인공 자녀 행동 암 걸린다고 이걸로 영화 전체를 평가해버리네ㅋㅋㅋ 수준 높다 진짜ㅠㅠ 우리나라 영화계가 이 영화 개봉한지 17년이 지나도록 여전히 왜 이 모양 이꼴인지 단번에 드러나는 순간이라 개인적으로 너무 안타깝다. 현장감과 공포, 사실적이게 표현하기 위해 카메라 워킹이랑 연출을 어떻게 했는지, 그리고 사람 심리를 어떻게 표현했는가 등등 단면적인 부분만 보지말고 다방면으로 평가해봐라, 부탁이다. 이것도 안 되면 그냥 평생 그냥 신과 함께, 은밀하게 위대하게, 7번방의 선물, 부산행, 범죄 스릴러 느와르물이나 봐라 이게 니들 수준에 맞는 영화다.",1
114,개연성은 많이 떨어지지만 몰입도는 좋았음 2005년 봤다면 꽤 재밌게 볼수 있었을거같음,1
115,"열린마음으로 시청하기 위해 부단히 노력하게 한다.탐크루즈를 믿고 시도했다...시종일관 매끄럽지 못하고 답답하고, 급하게 마무리 지은 느낌이 강하다.1. 아들의 행동이 답답하고 이해가 가지 않는다.(상당히 이기적이고, 머리가 나쁨활)2. 주인공의 전 아내를 아주 나쁘게 만든다. 고생은 고생대로 하는데, 다된밥에 숟가락만 올린다.(오히려 페미들은 여자를 이렇게 밖에 해석못하는 미국의 할리우드에 항의를 해야한다)3. 인류이전부터 심겨져있었을것이다.그것들이 전기를 충전받아 깨어났다... -> 기본적으로, 미생물에 대한 이해도 없었다는 말이다.급하게 종료시켰다...* 차라리 감독이, 인류가 태어나기전부터 심겨있던, 그 심판의 외계 애벌레가, 인간의 피를 땅이흡수하면 이걸 먹고 자라나게 되는데, 인류의 죄가 너무나 관영하여, 각종 종교에서 얘기하는 말세가, 어떤 앞선 문명의 준비하에, 죄가 차기까지 머금어 터지는 그런 설정이라도 하면, 뭔가 산뜻한 메시지도 될거 같은데.그냥 생각나는건 - 땅콩잼을 잔뜩발라 창문에 폭력적으로 던진것과, 복숭아술을 대접해준 정신병자와 석연찮은 살해, 그리고 시종일관 짜증내고, 명령조의 다코다패닝...이것이 다이다",0
116,언제 한번 일어날 것 같은 기분,1
117,"성대하게 시작한 것도 미약하게 끝날 수 있고, 미약하게 시작한 것고 성대하게 끝날 수 있다. 예상치 못한 곳에서 펼쳐진 오류는 항상 가장 기본적에고 원초적인 것에서 시작한다는 점을 나름의 훌륭한 방식으로 펼쳐낸 영화라고 봄.",1
118,중2병 아들과 소리만 지르는 잼민이의 짜증유발 대작전 ..,0
119,아 빌론둘이 너무많아 암걸릴듯 딸소ㅗ리지르는거 짜증,0
120,"제목을 <이혼남의 여정>으로 바꿔야함. 외계인을 물리친다면 군을 따라갔던 아들은 먼저 집에 가있고, 어린 딸은 영화 내도록 비명만 지름. 시끄러워서 긴장이 다 박살났다. 어린애라 이해할라쳐도 미국나이로 10살이면 한국나이론 11살 혹은 12살 되는데 8살 아이처럼 행동함....",0
121,sf영화 좋아해서 재밌게 봤는데 전체적으로 엉성하다 지하로 불러서 살려준 아재는 왜 죽이는지... 바로 다음시퀀스에 우주선으로 끌려갈거면서 검은머리짐승수준ㅉ 거기에 스필버그특 주인공일가무적버프 역시나 예상적중 암덩이아들새기 외계인풀폭격에도 노다이 그냥 슈퍼맨주인공하지뭐하노 딸애미일가도 역시 버프받아서 죄다 생존 스필버그 영화계은퇴전에 스필버그표 클리세 벗어나는거 볼수있을까?,0
122,보고 또 보고 많이 본 애니 중 하나,1
123,너무너무×10000재밌네요,1
124,넘넘 재미있어요 후편 빨리 나왔음,1
125,dwadsfdawsdadsdawadsdawdsadsa,1
126,공주물만 잘 만드는 회사가 아님을 여실히,1
127,제가본 애니메이션 영화중에서 단연 1위입니다.,1
128,귀여운 영화 둥둥이 사랑스러워,1
129,관람후 일어나서 박수를 치게 만드는 ..,1
130,?공포영화중에 볼만한영화,1
131,?재밌어염 짱짱임 완전 추천,1
132,?재밌게 잘 봤습니다. 아이가 넘 재밌고 감동적이라고 하네요,1
133,두번이나 봤어요! 존잼,1
134,?남녀노소 누구나 좋아할 영화 인 것 같고 베이멕스와 빅히어로의 조합이 멋진 다시보고싶은 영화다!!,1
135,?굿굿 좋았어용 좋아좋아,1
136,"?역시 디즈니는 믿고 볼만하다. 스토리의 전개나 개연성, 흥미를 계속 유발한다. 무엇보다 디즈니의 큰장점은 어떻게 저런 상상력을 표현했을까 하는 생각이 드는 표현력이 단연 압권이다. 감동과 재미 둘다 있고, 영상미까지 훌륭해서 10점",1
137,?너무 오랜만에 재미있게 봤어요,1
138,아이가 너무 좋아하네요.. 재미있나봐요ㅎㅎ강추드립니다,1
139,힐링 타임 ㅠ_ㅠ! 보고만 있어도 흐뭇한 기분이든다.,1
140,?아이들이 감동적으로 봤습니다.,1
141,영화 재미있게 잘 봤어요,1
142,여친이 아니라 엄마뻘인데ㅋ여친 외모땜에 집중이 안되네,0
143,2편에 나온 코너역....에드워드 펄롱이 마약등을 안해서 여기에 나왔으면 딱인데.... 3편의 코너가... 연기도 그렇지만 특히 외양적인 차이가 전편과 너무 크다 그것도 너무 안좋게....아마 이것 때문에 평점 점수가 낮은게 아닌가 하는 생각이 든다...,1
144,마지막 핵터질때 무서웠다.. 아직도 멈추지 않은 현실의 전쟁때문에,1
145,재평가가 필요하다..,1
146,기대를 한참 넘어서는 수작. 나름 설득력 있는 스토리와 군더더기 없는 편집.,1
147,오늘 케이블에서 다시 봤는데 결코 망작이 아님,1
148,"개봉당시엔 별로였지만,, x같은 리부트 시리즈로인해 재평가받는작품. 지금보니 선녀였다. 플레이타임이 짧아 너무 급하게 전개되었던감도 있지만 내용도 나름 납득가고 탄탄했음.",1
149,난 그냥 굿이지~~~,1
150,전작이 워낙 명작이라 홀대받은 영화지만 그 이후의 후속작들을 보면 이 영화가 분위기나 연출이 가장 터미네이터2의 후속작 같음,1
151,솔직히 터미네이터 세계관에 부합하기도 하고 재미도 있고…. 지금보니 이 후에 나온 괴랄한 리부트 영화보단 100만배 낫다,1
152,카메론의 세계관에서 좀 떨어진 영화 그래도 다크페이트처럼 다른 세계관으로 안간건 점수 후하게쳐줌 그래도 4나 제니시스보단 훨 나은 영화 4는 진짜 터미네이터 영화가 아님 그리고 빌런 터미너이터중 tx가 제일 쎈듯 rev-9도 tx한텐 개발릴듯!!,1
153,보는 시간이 아깝지 않은 영화이긴 한데(!) 타임킬링용 성격이 강하다.,0
154,"처음엔 가짜였으나, 이제는 진짜 3편이 되버린 영화. 전작들이 너무 명작이라 그렇지, 세월이 지나서 재평가된 지금은 볼거리도 풍부하고 재밌다. 물론 처음 봤을 땐 실망했지만 뒤에 나온 속편들은 훨씬 심각했기 때문에. 존코너 캐스팅만 제대로 했다면 참 좋았는데",1
155,"존 코너가 확 썩음ㅠㅠ억지스러운 연출,헛점 투성이ㅠㅠ",0
156,새로 나온 영화 보다 이게 나음,1
157,오씨엔 스릴즈에서 해주는데 다크페이트보다 훨 재밌고 제거장면 연출은 저의 심장을 두근거리게 했어요. 마지막 장면은 엔딩으로 깔끔하게 좋았어요.,1
158,흐미 이 영화가 7점대야? 폭망한 영화였는데. 1.2화를 봤으면 이 영화 던져버림. 카메론 긴ㅁ독이 2편까지 찌고 3편은 절대 망한다고 그러면서 손 뗀 정화. 5편은 이병현 나와서 그런지 볼만한데 3편은 눈버림. 터미너이터2가 워낙에 감탄이 터질만큼 잘''만들어져서 좀 더 그랬었 우도 있고,0
159,3편도 나쁘지 않다.,1
160,내용을 떠나서 3편의 아놀드는 그나마 젊은편?이라 봐줄만함. 이후 시리즈는 안나오는편이...,1
161,지나고보니 3가 명작이네.. 남주를 데인드한이 했더라면 어땠을까,1
